Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
115461,0.150154,1.183155,1.189266,-0.993803,-1.392611,4.88963,-0.935792,-0.483624,-0.402166,-2.814561,0.977825,-0.528757,-0.221661,0.79883,2.325534,-1.323541,0.218976,0.25815,0.991292,-1.641228,-0.594182,1.592316,1.824204,0.290067,-1.5161,0.116143,-0.118963,0.177493,8.45,0
86693,1.424165,1.364732,2.089406,0.163968,0.680013,-0.638927,-0.924965,-1.937205,0.136367,2.693903,1.828663,1.232635,0.162324,-0.97668,2.733562,0.720083,-1.588337,0.751923,-0.247416,0.072364,-1.083793,-1.330271,0.518487,-0.399222,1.888932,0.561094,0.062991,-0.269758,27.8,0
31698,-0.107411,-0.16532,2.017576,0.467095,0.258104,0.056177,-1.58551,-1.11275,-0.478401,0.684202,-0.975383,-0.060518,-0.780641,0.382659,0.47088,1.490995,1.451415,-1.898263,-1.054134,0.434558,-2.77809,-0.674567,-1.234693,-1.92759,2.60842,0.839505,0.191249,-1.85257,209.16,0
87460,1.90585,-1.310907,-0.24205,0.690976,1.606078,-0.643795,0.163498,-0.292819,0.040489,1.334105,-0.643938,0.943789,1.355589,-0.545256,0.971809,0.130678,-0.449405,-0.077293,-0.184775,0.860342,2.03948,-1.732684,2.139662,0.201994,1.582463,0.7991,-2.208645,-1.405685,37.74,0
83672,-0.601291,1.811431,1.161542,0.179413,2.039367,-0.590635,1.258263,0.084076,-1.407052,-1.253706,-2.310884,0.028912,-0.281881,1.969139,-0.494747,-0.408002,0.625004,1.737826,0.327415,-0.175801,-1.302057,1.710204,0.116029,0.081484,-0.822986,0.747714,1.747995,0.168939,13.48,0
116963,2.14441,0.271299,-0.385678,0.256195,0.269203,-0.469064,0.597989,-1.716981,-1.417755,-0.392159,1.410232,0.465994,-0.16804,0.54264,0.415992,-1.197622,0.188237,2.171379,0.852232,2.118999,-2.603347,-0.06279,0.18928,0.167107,0.264105,-0.020617,-1.958268,-1.326618,103.79,0
10760,0.71624,0.577338,2.341988,-0.017868,0.039386,-2.117767,-0.160128,-0.089444,1.707125,0.448744,-2.503758,-1.626238,0.560458,0.503603,-0.496687,-0.941706,0.053695,1.71299,-0.164171,1.060812,-2.061444,0.131,-0.854444,-1.013293,2.850621,-1.43481,0.609675,1.081548,8.04,0
96199,-1.464797,1.978289,-0.000238,0.409317,1.280684,1.396263,-1.168049,-1.624284,1.853505,-0.677638,-1.571196,-2.832906,1.180319,1.829372,3.091059,-0.562261,-0.077431,-0.833006,2.474402,-0.3734,1.805568,0.901132,-0.300813,-0.415515,-2.573897,0.780049,0.894451,-0.665691,94.92,0
117272,0.861113,1.232488,-0.001995,0.959889,-1.63394,-0.612853,0.688503,1.304157,-0.79585,3.011624,-1.299651,-0.550789,-0.913505,2.36079,-2.782742,0.818279,-0.538091,-0.567435,1.179188,-1.647355,1.557154,-4.200063,-0.333456,1.596347,0.610977,-0.584238,0.398786,0.543499,117.11,0
8492,-1.305568,2.188972,0.268831,-0.531789,-0.812841,-1.590796,-1.556209,-1.130976,-0.825797,1.937648,1.634191,1.779937,0.288828,1.691466,0.185555,-0.709768,-0.351762,-2.715336,1.963364,1.993544,0.748676,0.764209,0.701722,0.932554,1.837495,-0.165366,0.819376,-0.231877,4.52,0
50570,-0.607918,0.489908,-0.501314,-1.21237,2.750756,-1.107655,-2.714431,0.41711,-1.299505,-1.241418,-0.814855,-0.525293,0.110649,0.979014,-1.675086,0.070938,1.287995,-2.785917,-1.40983,-0.952329,-0.330914,0.180954,1.212541,0.815651,-0.157475,-0.97503,2.753548,0.356871,13.09,0
139691,0.571573,0.116566,1.338401,-1.127598,-2.629013,0.668296,-1.196139,-1.294957,0.594804,4.126217,-1.272535,1.404454,1.217316,0.835639,-0.147297,0.43067,-0.070689,-5.636638,1.651384,0.721287,0.968699,0.841883,-1.593623,0.910962,0.773703,0.109992,-2.079879,-0.399532,43.33,0
97646,0.446026,0.132633,0.416733,0.116168,0.825451,-1.830459,0.474469,3.304639,-0.418266,-0.806985,0.17777,0.138367,-0.477584,0.925824,2.527709,0.14385,1.950637,-1.465112,-3.130454,0.551198,-0.850785,-1.155716,1.361881,-1.848102,0.963305,0.477313,-1.721551,0.07107,645.65,0
104416,-0.432808,-0.429357,0.856207,0.912804,1.2414,-0.05314,-0.121071,-3.551833,-0.274567,0.276663,-1.793517,0.17656,0.880579,-0.769358,-3.02687,1.785056,0.080611,-2.743096,1.277637,0.515542,-1.683348,-1.727778,-1.91822,-1.136098,3.110141,-0.284006,-0.247385,1.607019,270.37,0
73803,0.452099,-0.866325,0.828439,0.140727,1.410137,0.391324,-0.969234,-1.766342,-0.057568,0.733698,-1.263535,-0.978671,0.71264,-0.241366,-2.420116,-1.597907,0.719017,-0.036907,-0.467138,-0.32111,-0.130174,-2.923696,0.481182,-0.595912,-0.737803,-1.570675,1.086226,0.563825,24.25,0
111581,1.585038,1.011807,0.214126,-1.536432,2.903034,-1.422156,-0.480549,1.49563,0.941348,0.187408,-2.094325,0.483797,1.377002,0.336431,2.887557,1.099744,1.255718,1.378414,1.416917,1.462892,-0.764264,1.53991,-1.413932,-0.114763,-3.897669,1.138991,-0.989423,3.418058,107.14,0
